,Age,Gender,Income Level,Dietary Preference,Exercise Frequency,Eating Disorder Habit,Location,Daily Caloric Intake
0,35,Male,Low,vegan,Low,binge_eating,champaign,1663.2
1,41,Female,High,vegan,Medium,binge_eating,champaign,2656.8
2,37,Male,High,Non-vegetarian,Medium,binge_eating,chicago,3581.6
3,36,Female,High,Non-vegetarian,High,restrictive_eating,chicago,3136.32
4,24,Male,High,vegan,Low,restrictive_eating,naperville,1710.72
5,34,Female,High,vegan,High,binge_eating,springfield,2423.52
6,51,Male,High,Vegetarian,High,restrictive_eating,alton,4443.12
7,35,Female,Medium,Non-vegetarian,High,binge_eating,nashville,2541
8,40,Male,Medium,vegan,Low,binge_eating,champaign,2376
9,20,Female,High,vegan,High,restrictive_eating,alton,1425.6
10,41,Male,Low,Vegetarian,Low,restrictive_eating,nashville,1948.32
11,56,Male,High,Vegetarian,High,restrictive_eating,springfield,4878.72
12,42,Male,Medium,vegan,Low,binge_eating,alton,2494.8
13,59,Male,Low,vegan,High,binge_eating,champaign,3426.72
14,39,Male,Medium,Vegetarian,Medium,restrictive_eating,nashville,2574
15,54,Female,Medium,vegan,Low,restrictive_eating,alton,2624.4
16,51,Male,Medium,Non-vegetarian,Medium,binge_eating,alton,4114
17,59,Male,Medium,Vegetarian,Low,binge_eating,alton,3504.6
18,34,Female,Low,Non-vegetarian,Medium,restrictive_eating,springfield,1795.2
19,51,Male,High,vegan,Low,binge_eating,alton,3635.28
20,37,Male,Low,Vegetarian,Medium,restrictive_eating,alton,1953.6
21,18,Male,Low,Non-vegetarian,Low,restrictive_eating,nashville,1045.44
22,44,Male,Medium,vegan,High,binge_eating,chicago,3194.4
23,49,Female,Low,Non-vegetarian,High,binge_eating,champaign,2845.92
24,48,Male,Low,Vegetarian,Medium,restrictive_eating,springfield,2534.4
25,23,Female,Low,Non-vegetarian,Low,restrictive_eating,chicago,1092.96
26,36,Male,Low,Vegetarian,Medium,restrictive_eating,naperville,1900.8
27,44,Male,High,Non-vegetarian,Medium,restrictive_eating,springfield,4259.2
